id,R2,MAE,RMSE,lon,lat
58020,0.987520823,0.714931372,0.977996137,117.13,34.8
58021,0.987191688,0.742728683,1.009643455,117.28,34.78
58022,0.987871427,0.677057434,0.967794143,117.57,34.75
58024,0.986859267,0.717009558,0.999100496,117.58,34.87
58025,0.987884491,0.711719806,0.9745892,117.73,34.57
58026,0.990845819,0.642821741,0.870395377,118.02,34.4
58027,0.986584658,0.721677369,1.008082156,117.15,34.28
58030,0.989811502,0.645271994,0.88928967,118.02,34.88
58032,0.990705499,0.625215835,0.840715758,118.65,34.95
58034,0.990166028,0.642832577,0.876275497,118.32,34.6
58035,0.989114132,0.693407141,0.947174648,118.35,34.33
58036,0.989698691,0.671707003,0.915887923,118.72,34.55
58038,0.990387203,0.665660593,0.891234551,118.78,34.08
58044,0.989671692,0.663158556,0.901911393,119.23,34.55
58045,0.990211933,0.657452862,0.902659292,119.6,34.2
58047,0.990805462,0.634847937,0.866875028,119.23,34.25
58048,0.989495721,0.693307608,0.941332785,119.35,34.12
58049,0.988028945,0.699442678,0.961635518,119.8,34.02
58116,0.987327207,0.718758296,0.988932379,116.87,34.03
